town_centre,borough,classification_lp2016,restaurants_cafes,public_houses_other_drinking,hot_food_takeaways,hotels,art_galleries_museums,cinema,theatres,night_clubs,total_nte
Green Street/ Upton Park,Newham,District,0.001332552,0.000898409,0.004074005,0,0,0,0,0,0.001354189
Barkingside,Redbridge,District,0.001702705,0.002259635,0.005626006,0,0,0,0,0,0.002157676
Gants Hill,Redbridge,District,0.005749715,0.003484738,0.005690673,0.001443246,0,0,0,0.021830716,0.004387571
South Woodford,Redbridge,District,0.005589315,0.006642782,0.003136337,0,0,0.009231235,0,0,0.005236199
Wanstead,Redbridge,District,0.00333138,0.002885799,0.001616668,0,0,0,0,0,0.002401429
East Sheen,Richmond upon Thames,District,0.003393072,0.002504655,0.003880004,0,0,0,0,0,0.002613585
Teddington,Richmond upon Thames,District,0.005046423,0.007023925,0.000840668,0.019611172,0,0,0,0,0.00533551
Twickenham,Richmond upon Thames,District,0.007082267,0.009474131,0.005496673,0.005772986,0,0,0,0,0.00680706
Whitton,Richmond upon Thames,District,0.001135137,0.000735062,0.001002334,0,0,0,0,0,0.000798972
Dulwich - Lordship Lane,Southwark,District,0.003652179,0.003130819,0.001164001,0,0,0.003329298,0,0,0.002735462
Elephant and Castle,Southwark,District,0.00190012,0.003049146,0.000291,0.007470923,0,0,0.017757009,0,0.0027445
Canada Water,Southwark,District,0.002862519,0.001524573,0.001843002,0,0,0.029131356,0,0,0.003547984
Walworth Road,Southwark,District,0.001702705,0,0.006434341,0,0,0,0,0,0.001521206
Camberwell,Southwark/Lambeth,District,0.004651593,0.003702534,0.00604634,0.000679175,0,0,0,0,0.003809786
Carshalton Village,Sutton,District,0.001283198,0.00168792,0.001196335,0,0,0,0.002670227,0,0.001286481
Cheam Village,Sutton,District,0.003837256,0.00168792,0.000420334,0,0.017,0,0,0,0.002099
North Cheam,Sutton,District,0.001320213,0.000952858,0.003912338,0,0,0,0,0,0.001345162
Rosehill,Sutton,District,0.000736605,0,0.002253636,0,0,0,0,0,0.000584107
Wallington,Sutton,District,0.002467689,0.002613553,0.002619003,0,0,0,0,0,0.002135105
Worcester Park,Sutton,District,0.002109874,0.002096288,0.003589004,0,0,0,0,0,0.001968088
Bethnal Green,Tower Hamlets,District,0.001135137,0.002804125,0.003104004,0.000764072,0,0,0,0,0.001819129
Brick Lane,Tower Hamlets,District,0.005293192,0.004110902,0.001519668,0.002037524,0,0,0,0.023362696,0.003895548
Chrisp Street,Tower Hamlets,District,0.001159814,0.001197879,0.003977005,0,0,0,0,0,0.001376759
Roman Road (east),Tower Hamlets,District,0.002467689,0.000707837,0.004850005,0.001103659,0,0,0,0,0.001873295
Roman Road (west),Tower Hamlets,District,0.00071563,0.000707837,0.002037002,0.00135835,0,0,0,0,0.00085314
Watney Market,Tower Hamlets,District,0.000296123,0.000626164,0.002425003,0.008574582,0,0,0,0,0.001110438
Whitechapel,Tower Hamlets,District,0.001098121,0.000898409,0.002813003,0,0,0,0,0,0.001092379
Bakers Arms,Waltham Forest,District,0.003022919,0.002776901,0.005399673,0,0,0,0,0,0.002780602
Highams Park,Waltham Forest,District,0.001749591,0.000941968,0.002195436,0,0,0,0,0,0.001258944
Leyton,Waltham Forest,District,0.000962399,0.005145433,0.003233337,0,0,0,0,0,0.002509766
Leytonstone,Waltham Forest,District,0.002961226,0.004437596,0.004882339,0,0,0,0,0,0.003236513
North Chingford,Waltham Forest,District,0.003935963,0.00283135,0.002231003,0,0,0,0,0,0.002690321
South Chingford,Waltham Forest,District,0.002973565,0.003130819,0.002942337,0,0,0,0,0,0.002536848
Wood Street,Waltham Forest,District,0.000863691,0.00114343,0.002295669,0,0,0,0,0,0.001015642
Balham,Wandsworth,District,0.004367809,0.005662699,0.004688339,0,0,0,0,0,0.004130276
Earlsfield,Wandsworth,District,0.001702705,0.001252328,0.000808334,0,0,0,0,0,0.00115106
Edgware Road/ Church Street,Westminster,District,0.001801413,0.001252328,0.002489669,0,0,0,0,0,0.001421899
Harrow Road,Westminster,District,0.000987075,0.000490041,0.001196335,0,0,0,0,0,0.000690636
Praed Street/ Paddington,Westminster,District,0.003393072,0.003838657,0.003039337,0.026742508,0,0,0,0,0.004360497
St John's Wood,Westminster,District,0.001147475,0.000326694,0.000711334,0,0,0,0,0,0.000627441
Euston Road (part),Camden,CAZ Frontage,0.001443598,0.001660695,0.003007003,0.002546906,0,0,0,0,0.001634056
High Holborn/ Kingsway,Camden,CAZ Frontage,0.003380734,0.003348615,0.003492004,0,0,0,0,0,0.002834769
King's Cross/ St Pancras,Camden,CAZ Frontage,0.004022333,0.006969476,0.003589004,0.021224213,0,0,0,0,0.005412248
Tottenham Court Road (part),Camden,CAZ Frontage,0.004565224,0.001796818,0.003783004,0.007980304,0,0,0,0,0.003218458
Cheapside,City of London,CAZ Frontage,0.004651593,0.006234414,0.00575534,0,0,0,0.002536716,0,0.004658412
Fleet Street,City of London,CAZ Frontage,0.002159228,0.002858574,0.003039337,0.004329739,0,0,0,0,0.002392403
Leadenhall Market,City of London,CAZ Frontage,0.002023505,0.001715144,0.003783004,0,0,0,0,0,0.001837183
Liverpool Street,City of London,CAZ Frontage,0.002566396,0.00476429,0.007889342,0.01239494,0,0,0,0,0.004279243
Moorgate,City of London,CAZ Frontage,0.001184491,0.000381143,0.004591339,0,0,0,0,0,0.001200715
Lower Marsh/ The Cut,Lambeth,CAZ Frontage,0.002677442,0.003158044,0.000743668,0.014432465,0,0,0.026969292,0,0.003809799
Borough High Street,Southwark,CAZ Frontage,0.001221506,0.001361226,0.002360336,0.003735461,0,0,0,0,0.001426414
London Bridge,Southwark,CAZ Frontage,0.003269688,0.004083677,0.003104004,0.000848969,0,0,0,0,0.003028869
Wentworth Street,Tower Hamlets,CAZ Frontage,0,0,0.000161667,0,0,0,0,0,2.25698E-05
Baker Street (part),Westminster,CAZ Frontage,0.005428915,0.00223241,0.005432006,0,0,0,0,0,0.003484779
Covent Garden/ Strand,Westminster,CAZ Frontage,0.00602116,0.005281556,0.002813003,0.023516428,0,0,0.04459279,0,0.007105002
Edgware Road South,Westminster,CAZ Frontage,0.002344304,0.000381143,0.001325668,0.000679175,0,0,0,0,0.001205228
Marylebone High Street,Westminster,CAZ Frontage,0.002257935,0.001960165,0.000905334,0,0,0,0,0,0.001602456
Marylebone Road,Westminster,CAZ Frontage,0.002048182,0.000272245,0.002910003,0,0,0,0,0,0.001245854
Victoria Street,Westminster,CAZ Frontage,0.002072859,0.001034532,0.002522003,0,0,0.00128632,0.018558077,0.024511681,0.002446575
Warwick Way/ Tachbrook Street,Westminster,CAZ Frontage,0.002122212,0.000952858,0.000808334,0,0,0,0,0,0.001205228
Charing Cross Road (part),Westminster/Camden,CAZ Frontage,0.000839014,0.003348615,0.002166336,0.001188556,0,0,0,0.012638836,0.001931977
Brent Cross,Barnet,Regional Shopping Centre,0.002122212,0,0.002457336,0.008404788,0,0,0,0,0.001566348
North Greenwich,Greenwich,Potential District,0.006647953,0,0,0,0,0,0,0,0.002432121
Tottenham Hale,Haringey,Potential District,0.000727968,0,0.001584335,0,0,0,0,0,0.000487508
Colliers Wood,Merton,Potential District,0.001517629,0.00168792,0.002392669,0.029798794,0,0,0,0,0.003033394
Hackbridge,Sutton,Potential District,0.000858756,0,0,0,0,0,0,0,0.000314172
Bromley-by-Bow,Tower Hamlets,Potential District,0,0,0,0,0,0,0,0,0
Crossharbour,Tower Hamlets,Potential District,0.000431846,0.000680613,0.000161667,0,0,0,0,0,0.000406257
Battersea,Wandsworth,Potential CAZ Frontage,0.002877325,0,0,0,0,0,0,0,0.001052655
Vauxhall,Lambeth,Potential CAZ Frontage,0.001776736,0.00560825,0.001164001,0.002546906,0,0,0,0.050938338,0.003408041
Bankside and Borough  ,Southwark,Unclassified,0.007945958,0.009338009,0.004494338,0.008914169,0,0,0,0,0.007104981
Barking Riverside,Barking and Dagenham,Unclassified,0.00095006,0,0,0,0,0,0,0,0.000347575
Clapham South,Wandsworth,Unclassified,0.000172738,0,0.000679001,0,0,0,0,0,0.000157989
Elephant and Castle  ,Southwark,Unclassified,0.003602826,0.003049146,0.006725341,0.007470923,0,0,0.017757009,0,0.004265705
Hackney Wick,Hackney/Tower Hamlets (LLDC),Unclassified,0.002394892,0,0,0,0,0,0,0,0.000876159
Herne Hill,Southwark/Lambeth,Unclassified,0.00063543,0,0,0,0,0,0,0,0.000232469
London Bridge,Southwark,Unclassified,0.007625158,0.0084396,0.003556671,0.00781051,0.087,0,0.010280374,0,0.00724044
Merrielands Crescent,Barking and Dagenham,Unclassified,0,0,0.000485001,0,0,0,0,0,6.77095E-05
Merry Fiddlers,Barking and Dagenham,Unclassified,0.000123384,0,0.000549667,0,0,0,0,0,0.000121877
New Cross Gate,Lewisham,Unclassified,0.000561399,0,0,0,0,0,0,0,0.000205385
Shepherds Bush (excluding Westfield),Hammersmith and Fulham,Unclassified,0.007711527,0.008112906,0.004494338,0.016554886,0,0.031855327,0.024165554,0,0.009736643
Southfields,Wandsworth,Unclassified,0.000444184,0.000217796,0.000194,0,0,0,0,0,0.00026181
Stratford (LLDC),Newham (LLDC),Unclassified,0.00967334,0.012550501,0.010637679,0.003565668,0,0.002950969,0,0,0.009551544
Stratford (Newham),Newham,Unclassified,0.005120454,0.010780908,0.004720672,0.003905255,0,0.011955206,0.027102804,0.001148985,0.007958132
Wembley (Excluding Designer Outlet),Brent,Unclassified,0.004466517,0.005744373,0.008180343,0.009593344,0,0,0,0,0.005191061
Wembley Designer Outlet,Brent,Unclassified,0.00023443,0,0,0.005348502,0,0,0,0,0.000370147
Westfield London,Hammersmith and Fulham,Unclassified,0.008871341,0.000735062,0.008309676,0,0,0.072639225,0,0,0.008982808
Wembley (with Wembley Park),Brent,Unclassified,0.006477683,0.008875192,0.011090346,0.037015027,0,0,0,0,0.008829326
New Cross and New Cross Gate,Lewisham,Unclassified,0.00237515,0.001905716,0.003653671,0.007131335,0,0,0,0.044044427,0.002909251
